Season,Week,Victim Team,Victim,SR0,SR1,DUR,Type,Offender Team,Offender,BRU,Bounty
3,1,Blood Pit Bouncers,Mighty Bouffant,71,60,65,SEASON ENDING INJURY,Beekeepers,Len Styrofoam,58,
3,1,Grazer Ridge,Nigel Prison,61,83,46,INJURED,Peninsula Transport,Julio Lobster,82,
3,1,Cheerio Inc,Myra Sacrifice,73,98,20,INJURED,Volcamoose Saints,Willy Fanfest,96,
3,1,Bumson Medics,Martin Jackhammer,83,69,43,INJURED,Urrgmelonflex,Braendig Gladwin,67,
3,1,Bumson Medics,Judy Conspiracy,83,59,29,INJURED,Urrgmelonflex,Braendig Gladwin,57,
3,1,Urrgmelonflex,Chicken Druid,67,64,60,INJURED,Bumson Medics,Anger Panda,61,
3,1,Vuvu Boys,Stabby Pete,66,68,57,INJURED,Budget Roadies,Drew Actionclump,67,
3,1,Budget Roadies,Viscount Heat,72,72,55,INJURED,Vuvu Boys,Brandon Peril,71,
3,1,Vuvu Boys,Bernie Mistakes,73,63,53,INJURED,Budget Roadies,Henni Duplex,62,
3,1,Vuvu Boys,Evan Doublehair,55,83,48,INJURED,Budget Roadies,Capsicum Disco,82,
3,1,Toymasters,Justin Underworld,58,84,39,INJURED,Wizard Hole Wizards,Plastic Vicar,82,
3,1,Toymasters,Tag Evil-Couch,93,,22,KILLED,Wizard Hole Wizards,Fink Conduct,46,
3,1,Toymasters,Pip Strobelight,79,76,47,INJURED,Wizard Hole Wizards,Mokka Badsun,75,
3,1,Stardozer HR,Picasso Middle-Eight,70,,32,KILLED,Picks Creek Miners,Stentorian Pizzabox,51,
3,1,Stardozer HR,Father Tempest,59,77,63,INJURED,Picks Creek Miners,Crank Virtue,76,
3,1,Picks Creek Miners,Tristram Lawnmower,73,71,63,INJURED,Stardozer HR,John Baritone,70,
3,1,Picks Creek Miners,Whiskers Camembert,73,67,21,INJURED,Stardozer HR,John Baritone,65,
3,1,Shady Palms,Jovial Impairment,72,64,48,INJURED,Sweaty Marsupials,Krag Franklin,62,
3,1,Sweaty Marsupials,Sulk Fundament,77,61,50,INJURED,Shady Palms,Polly Babylon,60,
3,1,Wretched Minstrels,Percival Hatred,57,86,26,INJURED,Bongolia Sea Raiders,Ziggy Whippet,84,
3,1,Bongolia Sea Raiders,Ziggy Whippet,64,75,37,INJURED,Wretched Minstrels,Pitbull Jones,74,
3,1,Wretched Minstrels,Oscar Cattle-Prod,65,94,42,INJURED,Bongolia Sea Raiders,Zoltan Zoltan,93,BOUNTY COLLECTED
3,1,Fire Chefs,Poster Roy,40,60,38,INJURED,LingoBlend Allstars,Hack Murphy,59,
3,1,LingoBlend Allstars,Flora Dope,63,61,36,INJURED,Fire Chefs,Ingrid Matrix,59,
3,1,LingoBlend Allstars,Barbara Joy-Joy,48,57,46,INJURED,Fire Chefs,Kim Freightmaster,55,
3,1,Red Star Pathfinders,Horace Diamonds,63,67,50,INJURED,Bulldozer Power,Surgeon General,66,
3,1,Kernal Space Agency,Bugeye Seizure,70,63,72,INJURED,Port Miggins Pirates,Mikey Pwertoolz,60,
3,1,Grunt Auto Gruppe,Sue Humpin,72,66,57,INJURED,Sportsball Union,Mervyn Pinerider,64,
3,1,Failurewood Hills,Butterfly Porkchop,71,59,50,INJURED,Eduslum Marching Band,Gustav Shank,57,
3,1,Failurewood Hills,Desmond Eyeliner,90,78,35,INJURED,Eduslum Marching Band,Gus Hitman Resume,77,
3,2,Ov City Axemen,Chubs Beaver,75,73,32,INJURED,Volcamoose Saints,Erlan Dickburg,72,
3,2,Wizard Hole Wizards,Trip Hogwash,92,61,70,INJURED,Vuvu Boys,Evan Doublehair,59,
3,2,Vuvu Boys,Stabby Pete,79,65,44,INJURED,Wizard Hole Wizards,Brad Adidas,69,
3,2,Wizard Hole Wizards,Fink Conduct,92,76,41,INJURED,Vuvu Boys,Evan Doublehair,75,
3,2,Stardozer HR,Father Tempest,80,76,63,INJURED,Grazer Ridge,Santino Bananas,75,
3,2,Sunshine Funbus,Antonio Rojas,76,61,39,INJURED,Kernal Space Agency,Tongo Coriander,60,
3,2,Sunshine Funbus,Saturn Mist,63,62,55,INJURED,Kernal Space Agency,Olga Delerium,67,
3,2,Sunshine Funbus,Colt Rhombus,63,64,33,INJURED,Kernal Space Agency,Olga Delerium,62,
