Season,Week,Victim Team,Victim,SR0,SR1,DUR,Type,Offender Team,Offender,BRU,Bounty
1,1,Lucky Steve,Cheerio Inc,61,54,,KILLED,Santino Bananas,Bulldozer Power,80,
1,1,Bernard Dunk,Bongolia Sea Raiders,81,81,52,INJURED,Erlan Dickburg,Colonel School,75,
1,1,Bandit Joe,Stardozer HR,77,76,19,INJURED,Kim Freightmaster,Fire Chefs,48,
1,1,Father Tempest,Fire Chefs,81,81,63,INJURED,Len Styrofoam,Stardozer HR,71,
1,1,Martin Jackhammer,Bumson Medics,74,72,43,INJURED,Ed Big-Mother,Sunshine Funbus,43,
1,1,Evan Doublehair,Toymasters,87,86,44,INJURED,Oscar Cattle-Prod,Wretched Minstrels,44,
1,1,Flora Dope,Eduslum Marching Band,68,67,38,INJURED,Todd Baubles,Urrgmelonflex,51,
1,1,Paul Tribunal,Eduslum Marching Band,73,71,59,INJURED,Arquebus J Lamar,Urrgmelonflex,94,
1,1,Bernie Crampons,Eduslum Marching Band,78,77,54,INJURED,Scrungy Gubbins,Urrgmelonflex,74,
1,1,Tony Benchwarmer,Vuvu Boys,67,65,84,INJURED,Cherri Margarita,Grunt Auto Gruppe,86,
1,1,Jemima Hertz,Vuvu Boys,89,86,33,INJURED,Carl Detonator,Grunt Auto Gruppe,60,
1,1,Daphne Teflon,Grazer Ridge,66,64,52,INJURED,Horatio Gunship,Shady Palms,48,
1,1,Perry Salinas,Wizard Hole Wizards,72,70,39,INJURED,Lancelot Bonanza,Failurewood Hills,79,
1,1,LaDaniel Skyline,Wizard Hole Wizards,71,70,69,INJURED,Vanessa Hammock,Failurewood Hills,81,
1,1,Sulk Fundament,Wizard Hole Wizards,69,66,52,INJURED,Vanessa Hammock,Failurewood Hills,81,
1,1,Henk Vengeance,Ov City Axemen,61,59,60,INJURED,Don Garcia-Funk,Kernal Space Agency,62,
1,1,Kookoo Jorski,Ov City Axemen,59,57,54,INJURED,Tongo Coriander,Kernal Space Agency,76,
1,1,Crank Virtue,Picks Creek Miners,78,78,66,INJURED,Gustavo Resume,Sweaty Marsupials,90,
