Season,Week,Victim Team,Victim,SR0,SR1,DUR,Type,Offender Team,Offender,BRU,Bounty
4,1,Stardozer HR,Ostentacious Smack,72,71,62,INJURED,Vuvu Boys,Stench Vosene,83,
4,1,Stardozer HR,John Baritone,80,79,56,INJURED,Vuvu Boys,Brandon Peril,72,
4,1,Stardozer HR,David Onions,75,73,58,INJURED,Vuvu Boys,Evan Doublehair,92,
4,1,Vuvu Boys,Stench Vosene,66,65,61,INJURED,Stardozer HR,King Starsinger,74,
4,1,Stardozer HR,Judy Treatment,69,68,46,INJURED,Vuvu Boys,Chaz Crank-Fonz,51,
4,1,Stardozer HR,Oscar Cattle-Prod,84,83,49,INJURED,Vuvu Boys,Chaz Crank-Fonz,51,
4,1,Port Miggins Pirates,Kiki Tyrant,84,83,28,INJURED,Nomads,Kim Selecta,51,
4,1,Wizard Hole Wizards,Eddie Progribniak,73,71,31,INJURED,Grazer Ridge,Josh Robbino,57,
4,1,Wizard Hole Wizards,Tonya Spangle,57,55,64,INJURED,Grazer Ridge,Santino Bananas,80,
4,1,Grazer Ridge,Kyle Cohort,76,76,54,INJURED,Wizard Hole Wizards,Mokka Badsun,79,
4,1,Grazer Ridge,Josh Robbino,83,81,81,INJURED,Wizard Hole Wizards,Mokka Badsun,79,
4,1,Wizard Hole Wizards,Pete Blackfox,66,65,60,INJURED,Grazer Ridge,Stella Doit,90,
4,1,Wretched Minstrels,Chonk Olympics,73,71,72,INJURED,Eduslum Marching Band,Tarquin Bangfish,86,
4,1,Wretched Minstrels,Pitbull Jones,74,73,39,INJURED,Eduslum Marching Band,Ron Bongos,112,
4,1,Eduslum Marching Band,Roughstuff Smith,76,76,30,INJURED,Wretched Minstrels,Ryan McNiece,62,
4,1,Bumson Medics,Subbuteo Bongos,78,76,55,INJURED,Ov City Axemen,Shandy Worthless,75,
4,1,Bumson Medics,Coughs Zerma,69,68,60,INJURED,Ov City Axemen,Chunk Flunkerson,53,
4,1,Sweaty Marsupials,Jossy Clickbait,59,57,51,INJURED,Red Star Pathfinders,Euston Flamberge,79,
4,1,Sweaty Marsupials,Horatio Candid,55,53,49,INJURED,Red Star Pathfinders,Mateo Falcone,80,
4,1,Red Star Pathfinders,Linfield Muscles,97,96,51,INJURED,Sweaty Marsupials,Ruthie Spasms,67,
4,1,Sweaty Marsupials,Gary Rubber,68,66,27,INJURED,Red Star Pathfinders,Euston Flamberge,79,
4,1,Sweaty Marsupials,Helga Jumpjet,63,61,65,INJURED,Red Star Pathfinders,Mateo Falcone,96,
4,1,Beekeepers,Oaty Freemason,57,56,61,INJURED,Volcamoose Saints,Chris Biscuit,60,
4,1,Beekeepers,Howl Halfmoon,40,38,68,INJURED,Volcamoose Saints,Zerwin Trumpet,62,
4,1,Volcamoose Saints,Saint Crabthorn,62,60,26,INJURED,Beekeepers,Minnie Sabotage,82,
4,1,Sportsball Union,Savvy Cromulent,45,44,72,INJURED,LingoBlend Allstars,Zimski Tabulate,68,
4,1,Peninsula Transport,Cordelia Benzedrine,80,79,51,INJURED,Budget Roadies,Capsicum Disco,55,
4,1,Budget Roadies,Clamorous Thrapple,65,64,72,SEASON ENDING INJURY,Peninsula Transport,Len Styrofoam,71,
4,1,Failurewood Hills,Johan Tremendous,74,72,69,INJURED,Sunshine Funbus,Fritz Beermat,60,
4,1,Failurewood Hills,Justice Lemon,63,62,36,INJURED,Sunshine Funbus,Cynthia Wrestling-Mask,74,
4,1,Failurewood Hills,Tim Vankan,74,72,36,INJURED,Sunshine Funbus,Shamrock Bubblejet,55,
4,1,Sunshine Funbus,Cynthia Wrestling-Mask,73,72,28,INJURED,Failurewood Hills,Desmond Eyeliner,40,
4,1,Toymasters,Dave Caustic,81,79,68,INJURED,Picks Creek Miners,Donna Baps,84,
4,1,Picks Creek Miners,Batty Hatch,60,58,26,INJURED,Toymasters,Pip Strobelight,75,
4,1,Bongolia Sea Raiders,Ziggy Whippet,72,70,35,INJURED,Kernal Space Agency,Bill Saturno,40,
4,1,Kernal Space Agency,Bill Saturno,78,77,43,INJURED,Bongolia Sea Raiders,Bernard Dunk,52,
4,1,Kernal Space Agency,Bob Nettuno,65,63,45,INJURED,Bongolia Sea Raiders,Big Rod McGurk,72,
4,1,Cheerio Inc,Toons Crevice,55,53,55,INJURED,Urrgmelonflex,Ed Varnish,71,
4,1,Cheerio Inc,Myra Sacrifice,78,76,19,INJURED,Urrgmelonflex,Braendig Gladwin,83,
4,1,Shady Palms,Royston Arkansas,66,64,46,INJURED,Grunt Auto Gruppe,Karin Hair,53,
4,1,Grunt Auto Gruppe,Bingo Hazmat,79,78,60,INJURED,Shady Palms,Spack Freely,69,
4,1,Shady Palms,Denial Saddlebag,60,60,57,INJURED,Grunt Auto Gruppe,Carl Detonator,77,
4,1,Shady Palms,Mighty Bouffant,63,61,65,INJURED,Grunt Auto Gruppe,Georgie Cones,88,
4,1,Shady Palms,Polly Babylon,68,68,34,INJURED,Grunt Auto Gruppe,Georgie Cones,88,
4,1,Shady Palms,Vera Gondolier,59,57,49,SEASON ENDING INJURY,Grunt Auto Gruppe,Karin Hair,53,
4,1,Shady Palms,Bork Tesla,64,62,54,INJURED,Grunt Auto Gruppe,Tyger Styles,65,
4,1,Shady Palms,Herman Direwolf,61,60,56,INJURED,Grunt Auto Gruppe,Carl Detonator,77,
4,1,Steggonauts,Nobby Hairfoot,71,69,60,INJURED,Blood Pit Bouncers,Fred Singularity,91,
4,1,Steggonauts,Merry Aluminium,73,72,44,INJURED,Blood Pit Bouncers,Fred Singularity,91,
4,2,Volcamoose Saints,Franchise Oblique,63,61,18,INJURED,Blood Pit Bouncers,Peter Brickwall,61,
4,2,Volcamoose Saints,Nancy Diligent,61,59,53,INJURED,Blood Pit Bouncers,Fred Singularity,105,
4,2,Volcamoose Saints,Blix Gornock,67,66,24,INJURED,Blood Pit Bouncers,Peter Brickwall,61,
4,2,Volcamoose Saints,Robin Pensioner,51,49,39,INJURED,Blood Pit Bouncers,Fred Singularity,105,
4,2,Volcamoose Saints,Ron Ground,64,62,28,INJURED,Blood Pit Bouncers,Frank Trombone,54,
4,2,Fire Chefs,Gregg Double-G,67,66,46,INJURED,Sweaty Marsupials,Helga Jumpjet,53,
4,2,Steggonauts,Helmut Cenobite,74,71,52,INJURED,Beekeepers,Minnie Sabotage,82,
4,2,Steggonauts,Hugo Blowfish,71,70,30,SEASON ENDING INJURY,Beekeepers,Minnie Sabotage,82,
4,2,Red Star Pathfinders,Gerti Wrench,54,53,61,INJURED,Bulldozer Power,Steve Morrey,75,
